assets/content/v1/audio/characters/char_da_v1.mp3 | source_exists=True | byte_identical=True | sha256=4abc2b9a1c116e1e9cbae529b12b2ab0d9abb182a99377e9730d263a0fc9fb48
assets/content/v1/audio/characters/char_kou_v1.mp3 | source_exists=True | byte_identical=True | sha256=505a2fcc5eeab69a5742e44d9163688b5b93842da0e096d32208f91d27248b4a
assets/content/v1/audio/characters/char_ren_v1.mp3 | source_exists=True | byte_identical=True | sha256=d05217eae266b466932e73bf965524d0b281f5869ac5750c93ccff1c7e42aa0e
assets/content/v1/audio/characters/char_shan_v1.mp3 | source_exists=True | byte_identical=True | sha256=916371c8278d80545ae65ecd784f60d1d830788aed50ea387079d37b64e57be1
assets/content/v1/audio/characters/char_xiao_v1.mp3 | source_exists=True | byte_identical=True | sha256=3521e36d0202d354063b8fff263fedeec47f10c0536563e453b767b9dc5c079e
assets/content/v1/audio/meanings/meaning_da_v1.mp3 | source_exists=True | byte_identical=True | sha256=350e7ff31ed1b23902160fbdf1ed262445da72ccf671d97f78a4b306e6719c59
assets/content/v1/audio/meanings/meaning_kou_v1.mp3 | source_exists=True | byte_identical=True | sha256=30abe78d64a15d426b9daffc9fdefcba292b05912eca2bfe9c09a911aef08f05
assets/content/v1/audio/meanings/meaning_ren_v1.mp3 | source_exists=True | byte_identical=True | sha256=db974e97fb0f5fb03acbfb8d56cccd87d03e025e619f014726f14581b519a719
assets/content/v1/audio/meanings/meaning_shan_v1.mp3 | source_exists=True | byte_identical=True | sha256=afd605cb5ceab999306fa7c35552331f1056438be1d05417fcb533bb127a5ab6
assets/content/v1/audio/meanings/meaning_xiao_v1.mp3 | source_exists=True | byte_identical=True | sha256=2e6972a47877ca98317624fd0cd560e4f6e0b62eef97279ea54c06e05da6fd12
assets/content/v1/audio/prompts/prompt_choose_picture_v1.mp3 | source_exists=True | byte_identical=True | sha256=775d230c3b42d8c202398384f7dcb65085c87b41fb496e8a8e9fedaaca8f45d1
assets/content/v1/audio/prompts/prompt_choose_sound_v1.mp3 | source_exists=True | byte_identical=True | sha256=0909c0476fef23f380a9e0ba1cbc283f915b88e80a9b976996b6391733583e93
assets/content/v1/audio/prompts/prompt_find_da_v1.mp3 | source_exists=True | byte_identical=True | sha256=74e4f3e42f9952d888f06e19cfd69694d898f6ca68c2bbede6e421beeb69c6e7
assets/content/v1/audio/prompts/prompt_find_dashan_v1.mp3 | source_exists=True | byte_identical=True | sha256=5023f45060faeca349ec164b49092a8a1f4f0cd01105fec25303e7b468816071
assets/content/v1/audio/prompts/prompt_find_kou_v1.mp3 | source_exists=True | byte_identical=True | sha256=2abbd3bb15f872f189d6f0cc97cec9b3543f47ef20065aaa52a8308019d22b26
assets/content/v1/audio/prompts/prompt_find_ren_v1.mp3 | source_exists=True | byte_identical=True | sha256=20d84019252cbc29b7b63acf8d5bade1c8d23bf9275c340ee526820b7daf46b6
assets/content/v1/audio/prompts/prompt_find_same_v1.mp3 | source_exists=True | byte_identical=True | sha256=99eca57bccb90f1fd5a27fe0ae00e293334d147a551229c278a575e31ddcab19
assets/content/v1/audio/prompts/prompt_find_shan_v1.mp3 | source_exists=True | byte_identical=True | sha256=3111dea890f899a264cb8ed704ae317747f4263b8359005a069522c4789e7bf4
assets/content/v1/audio/prompts/prompt_find_xiao_v1.mp3 | source_exists=True | byte_identical=True | sha256=e6e934f1bb97faef7ee080b45bb6c78204ac25ce32d1d8a7aa8665acae9b1314
assets/content/v1/audio/prompts/prompt_find_xiaoshan_v1.mp3 | source_exists=True | byte_identical=True | sha256=6abe1a794e83f57e7bdd14d42878a24692f49f57b0117fa356da9852c42222c1
assets/content/v1/audio/sentences/sentence_da_v1.mp3 | source_exists=True | byte_identical=True | sha256=50555967769b0a0764c99b80c97022289e17e3a317d720dff57b337ffcf7447e
assets/content/v1/audio/sentences/sentence_kou_v1.mp3 | source_exists=True | byte_identical=True | sha256=dee5510a5157ca72d14910ec7f1af12951341a28b5cc049de54ab777f86160a5
assets/content/v1/audio/sentences/sentence_ren_v1.mp3 | source_exists=True | byte_identical=True | sha256=0c237b4c1bd39c7d3b803da133fa406f3d2c5bf006db43714fc413ba8affa1af
assets/content/v1/audio/sentences/sentence_shan_v1.mp3 | source_exists=True | byte_identical=True | sha256=328c57b65d4c48acfb717bc1f3ba84dd411b59d2f8e1d6b59cfe9be93c843b74
assets/content/v1/audio/sentences/sentence_xiao_v1.mp3 | source_exists=True | byte_identical=True | sha256=9d0cf4796d58c5df124af1adc55ed061d7d23d121417c93e2d0601aafdb24c0b
assets/content/v1/audio/words/word_dakou_v1.mp3 | source_exists=True | byte_identical=True | sha256=0305b4dea418e247c2dfcb5cbf08317cbdd05f7c0240b67c72c719f26ae94ca6
assets/content/v1/audio/words/word_daren_v1.mp3 | source_exists=True | byte_identical=True | sha256=65245f3c7675fe63fc58d9c1778702829a503052838029364acb2e307bf1ae55
assets/content/v1/audio/words/word_dashan_v1.mp3 | source_exists=True | byte_identical=True | sha256=dfcd0dc4ebbcab154bac600b9233d024966c3dff4e0868e75f7c2d971c9dac9f
assets/content/v1/audio/words/word_haoren_v1.mp3 | source_exists=True | byte_identical=True | sha256=6380faaab68c17ca913f9c45e411a205922466b6d1fd359ae5106a603fbb1840
assets/content/v1/audio/words/word_jiaren_v1.mp3 | source_exists=True | byte_identical=True | sha256=e34ec823e5b66678e25462a85269bdb3d7f6469675df222d3a0efd36384aa7a3
assets/content/v1/audio/words/word_kaikou_v1.mp3 | source_exists=True | byte_identical=True | sha256=31356daf12ffac8d3943c45d8f0d9c998c8df39372d1f6818a7fd9b58735711f
assets/content/v1/audio/words/word_menkou_v1.mp3 | source_exists=True | byte_identical=True | sha256=c24e5888106fc282c5abda064403cc4e80917aee7a285148d6651cd555237a8c
assets/content/v1/audio/words/word_pashan_v1.mp3 | source_exists=True | byte_identical=True | sha256=11ec4f298ccef370575daf933e008560e7e7d14505f46d061b6e7ef48e4bdd93
assets/content/v1/audio/words/word_shanshang_v1.mp3 | source_exists=True | byte_identical=True | sha256=8db025e6909bf5ca8b1c8639c960e657e748f535a7806740aa088f5b01131f4e
assets/content/v1/audio/words/word_xiaokou_v1.mp3 | source_exists=True | byte_identical=True | sha256=ea9671c0909ac707eae52ff1875390bcf7830956e3ba4b48eea6fcefc7cb1ae5
assets/content/v1/audio/words/word_xiaoshan_v1.mp3 | source_exists=True | byte_identical=True | sha256=726eb12d6c7ad944040b4d92dfae7bff496cf78532af10570ca9ac33d1461c6f
assets/content/v1/audio/words/word_xiaoshou_v1.mp3 | source_exists=True | byte_identical=True | sha256=75bbf24f62d23d7f8711538d2a8b6eb575863ab68b129591a9fafa3031be69be
assets/content/v1/audio/words/word_yikoushui_v1.mp3 | source_exists=True | byte_identical=True | sha256=967c131b5245b604688a6949803104b44835d6ecca7e8344a70a540d901b893a
assets/content/v1/content.json | source_exists=True | byte_identical=True | sha256=cb98ece329511192002f59e51c30e94a69635226afb4efcb63c3772bd3c0a53d
assets/content/v1/content.schema.json | source_exists=True | byte_identical=True | sha256=76af4483aeee44a7c143cd2c54cf95c067a6571c17400c5e53be7b55e1bff2fd
assets/content/v1/images/characters/char_da_main_v1.webp | source_exists=True | byte_identical=True | sha256=ea194964b3626c1dae06694027bbf6d4f7d03a83810f1ebcf01ca05729c4d531
assets/content/v1/images/characters/char_kou_main_v1.webp | source_exists=True | byte_identical=True | sha256=3fc1b382d38349909f47299cde591ae04e691c7fb4cf6a9c8ce0cef094cb0a76
assets/content/v1/images/characters/char_ren_main_v1.webp | source_exists=True | byte_identical=True | sha256=d4d334c7fa1589d0f975dfcd171d874817906de10fa45f55e4b048be6487ae1e
assets/content/v1/images/characters/char_shan_main_v1.webp | source_exists=True | byte_identical=True | sha256=19f1dc6bd7d276740ed7a7359a5f7bfeb0c524da59061821b6b600247da3eed5
assets/content/v1/images/characters/char_xiao_main_v1.webp | source_exists=True | byte_identical=True | sha256=0fc570199485d08c09fe9ec649fc9eb67187ea65af24df2384f192c9d07b8c3c
assets/content/v1/images/options/context_dashan_v1.webp | source_exists=True | byte_identical=True | sha256=a35b4f6a430ad7c38beb69eeb51b3ad3747f3d55f126ed51ae1d2ae2b4c0be35
assets/content/v1/images/options/context_xiaoshan_v1.webp | source_exists=True | byte_identical=True | sha256=ca0b06da3314c8ec147ec310dc3a92ad894931be4b7f35a302651d72edb573ca
assets/content/v1/images/options/image_big_watermelon_v1.webp | source_exists=True | byte_identical=True | sha256=ee7aea46bc7b68906c2b68014319a09327ee3c87fd49b2f511d6c3e7d054ba6e
assets/content/v1/images/options/image_mountain_v1.webp | source_exists=True | byte_identical=True | sha256=55507a1117c45f2475fdb588238979b0deee2f901dc52baeb24b055a4decbffb
assets/content/v1/images/options/image_mouth_v1.webp | source_exists=True | byte_identical=True | sha256=ad2e409943b55442b3f489aa5d67c18ffe71527e5542dcd6f2ccc5b7237773c0
assets/content/v1/images/options/image_person_v1.webp | source_exists=True | byte_identical=True | sha256=f8c785a5ada97c3d49f6ad32da665128ccba27d174e4d3e9b0cdb7f59fd7ff6c
assets/content/v1/images/options/image_small_watermelon_v1.webp | source_exists=True | byte_identical=True | sha256=6995a0fc61c9a01a0a0e6f10fd3f795c173197a0d1c103d5090abae21e81988c
assets/content/v1/manifest.json | source_exists=True | byte_identical=True | sha256=6344691b0943053efe256faf051e008b7fac4c1494a02d679d015a83996849d5
counts: total_content_assets=53 mp3=38 webp=12
voice_candidates_in_apk=False
OVERALL=PASS
