id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u4eba,人,rén,2,人就是你和我这样的朋友。,大人,家人,我和妈妈都是人。,温暖儿童插画：孩子和妈妈手牵手，无文字,character meaning words sentence,DRAFT
char_u53e3,口,kǒu,3,口就是嘴巴，可以吃东西和说话。,开口,门口,我开口说你好。,儿童张嘴微笑并指向嘴巴，无文字,character meaning words sentence,DRAFT
char_u5927,大,dà,4,大表示占的地方更多或个子更高。,大人,大山,这是一只大大的熊。,两个同类物体明显大小对比，无文字,character meaning words sentence,DRAFT
char_u5c0f,小,xiǎo,3,小表示占的地方更少或个子更矮。,小手,小猫,小猫在睡觉。,大小对比中较小的可爱小猫，无文字,character meaning words sentence,DRAFT
char_u624b,手,shǒu,3,手可以拿东西、挥一挥和做动作。,小手,手指,我用手拿杯子。,孩子伸出手拿杯子，主体清楚，无文字,character meaning words sentence,DRAFT
char_u5934,头,tóu,2,头在身体的最上面，有眼睛耳朵和嘴巴。,头发,点头,我点点头说好。,孩子侧脸和头部轮廓，表情自然，无文字,character meaning words sentence,DRAFT
char_u7238,爸,bà,4,爸爸是照顾和陪伴我们的家人。,爸爸,爸妈,爸爸陪我看书。,爸爸和孩子一起看绘本，无文字,character meaning words sentence,DRAFT
char_u5988,妈,mā,1,妈妈是照顾和陪伴我们的家人。,妈妈,爸妈,妈妈给我一个拥抱。,妈妈和孩子拥抱，温暖家庭场景，无文字,character meaning words sentence,DRAFT
char_u5bb6,家,jiā,1,家是我们生活和休息的地方。,家人,回家,我喜欢回家。,温暖的小房子和家人，无文字,character meaning words sentence,DRAFT
char_u95e8,门,mén,2,门可以打开和关上，进出房间要经过门。,门口,开门,我从门口走进家。,孩子站在明亮房门前，无文字,character meaning words sentence,DRAFT
char_u5c71,山,shān,1,山是地面上高高隆起的地方。,大山,山上,远处有一座山。,轮廓清楚的绿色山峰和小路，无文字,character meaning words sentence,DRAFT
