id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u98de,飞,fēi,0,“飞”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,飞人,飞家,我在故事里看见“飞”。,儿童绘本风：用清楚温暖的生活场景表现“飞”的意思，无文字,character meaning words sentence,DRAFT
char_u673a,机,jī,0,“机”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,机人,机家,我在故事里看见“机”。,儿童绘本风：用清楚温暖的生活场景表现“机”的意思，无文字,character meaning words sentence,DRAFT
char_u8def,路,lù,0,“路”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,路人,路家,我在故事里看见“路”。,儿童绘本风：用清楚温暖的生活场景表现“路”的意思，无文字,character meaning words sentence,DRAFT
char_u6865,桥,qiáo,0,“桥”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,桥人,桥家,我在故事里看见“桥”。,儿童绘本风：用清楚温暖的生活场景表现“桥”的意思，无文字,character meaning words sentence,DRAFT
char_u7a97,窗,chuāng,0,“窗”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,窗人,窗家,我在故事里看见“窗”。,儿童绘本风：用清楚温暖的生活场景表现“窗”的意思，无文字,character meaning words sentence,DRAFT
char_u623f,房,fáng,0,“房”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,房人,房家,我在故事里看见“房”。,儿童绘本风：用清楚温暖的生活场景表现“房”的意思，无文字,character meaning words sentence,DRAFT
char_u5c4b,屋,wū,0,“屋”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,屋人,屋家,我在故事里看见“屋”。,儿童绘本风：用清楚温暖的生活场景表现“屋”的意思，无文字,character meaning words sentence,DRAFT
char_u6905,椅,yǐ,0,“椅”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,椅人,椅家,我在故事里看见“椅”。,儿童绘本风：用清楚温暖的生活场景表现“椅”的意思，无文字,character meaning words sentence,DRAFT
char_u88ab,被,bèi,0,“被”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,被人,被家,我在故事里看见“被”。,儿童绘本风：用清楚温暖的生活场景表现“被”的意思，无文字,character meaning words sentence,DRAFT
char_u5e3d,帽,mào,0,“帽”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,帽人,帽家,我在故事里看见“帽”。,儿童绘本风：用清楚温暖的生活场景表现“帽”的意思，无文字,character meaning words sentence,DRAFT
char_u978b,鞋,xié,0,“鞋”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鞋人,鞋家,我在故事里看见“鞋”。,儿童绘本风：用清楚温暖的生活场景表现“鞋”的意思，无文字,character meaning words sentence,DRAFT
char_u889c,袜,wà,0,“袜”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,袜人,袜家,我在故事里看见“袜”。,儿童绘本风：用清楚温暖的生活场景表现“袜”的意思，无文字,character meaning words sentence,DRAFT
char_u5305,包,bāo,0,“包”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,包人,包家,我在故事里看见“包”。,儿童绘本风：用清楚温暖的生活场景表现“包”的意思，无文字,character meaning words sentence,DRAFT
char_u4f1e,伞,sǎn,0,“伞”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,伞人,伞家,我在故事里看见“伞”。,儿童绘本风：用清楚温暖的生活场景表现“伞”的意思，无文字,character meaning words sentence,DRAFT
char_u949f,钟,zhōng,0,“钟”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,钟人,钟家,我在故事里看见“钟”。,儿童绘本风：用清楚温暖的生活场景表现“钟”的意思，无文字,character meaning words sentence,DRAFT
char_u5200,刀,dāo,0,“刀”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,刀人,刀家,我在故事里看见“刀”。,儿童绘本风：用清楚温暖的生活场景表现“刀”的意思，无文字,character meaning words sentence,DRAFT
char_u52fa,勺,sháo,0,“勺”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,勺人,勺家,我在故事里看见“勺”。,儿童绘本风：用清楚温暖的生活场景表现“勺”的意思，无文字,character meaning words sentence,DRAFT
char_u7897,碗,wǎn,0,“碗”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,碗人,碗家,我在故事里看见“碗”。,儿童绘本风：用清楚温暖的生活场景表现“碗”的意思，无文字,character meaning words sentence,DRAFT
char_u76d8,盘,pán,0,“盘”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,盘人,盘家,我在故事里看见“盘”。,儿童绘本风：用清楚温暖的生活场景表现“盘”的意思，无文字,character meaning words sentence,DRAFT
char_u7b77,筷,kuài,0,“筷”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,筷人,筷家,我在故事里看见“筷”。,儿童绘本风：用清楚温暖的生活场景表现“筷”的意思，无文字,character meaning words sentence,DRAFT
char_u8336,茶,chá,0,“茶”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,茶人,茶家,我在故事里看见“茶”。,儿童绘本风：用清楚温暖的生活场景表现“茶”的意思，无文字,character meaning words sentence,DRAFT
char_u5976,奶,nǎi,0,“奶”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,奶人,奶家,我在故事里看见“奶”。,儿童绘本风：用清楚温暖的生活场景表现“奶”的意思，无文字,character meaning words sentence,DRAFT
char_u83dc,菜,cài,0,“菜”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,菜人,菜家,我在故事里看见“菜”。,儿童绘本风：用清楚温暖的生活场景表现“菜”的意思，无文字,character meaning words sentence,DRAFT
char_u8089,肉,ròu,0,“肉”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,肉人,肉家,我在故事里看见“肉”。,儿童绘本风：用清楚温暖的生活场景表现“肉”的意思，无文字,character meaning words sentence,DRAFT
char_u86cb,蛋,dàn,0,“蛋”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,蛋人,蛋家,我在故事里看见“蛋”。,儿童绘本风：用清楚温暖的生活场景表现“蛋”的意思，无文字,character meaning words sentence,DRAFT
char_u732a,猪,zhū,0,“猪”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,猪人,猪家,我在故事里看见“猪”。,儿童绘本风：用清楚温暖的生活场景表现“猪”的意思，无文字,character meaning words sentence,DRAFT
char_u9e21,鸡,jī,0,“鸡”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鸡人,鸡家,我在故事里看见“鸡”。,儿童绘本风：用清楚温暖的生活场景表现“鸡”的意思，无文字,character meaning words sentence,DRAFT
char_u9e2d,鸭,yā,0,“鸭”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鸭人,鸭家,我在故事里看见“鸭”。,儿童绘本风：用清楚温暖的生活场景表现“鸭”的意思，无文字,character meaning words sentence,DRAFT
char_u9e45,鹅,é,0,“鹅”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鹅人,鹅家,我在故事里看见“鹅”。,儿童绘本风：用清楚温暖的生活场景表现“鹅”的意思，无文字,character meaning words sentence,DRAFT
char_u718a,熊,xióng,0,“熊”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,熊人,熊家,我在故事里看见“熊”。,儿童绘本风：用清楚温暖的生活场景表现“熊”的意思，无文字,character meaning words sentence,DRAFT
char_u864e,虎,hǔ,0,“虎”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,虎人,虎家,我在故事里看见“虎”。,儿童绘本风：用清楚温暖的生活场景表现“虎”的意思，无文字,character meaning words sentence,DRAFT
char_u72ee,狮,shī,0,“狮”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,狮人,狮家,我在故事里看见“狮”。,儿童绘本风：用清楚温暖的生活场景表现“狮”的意思，无文字,character meaning words sentence,DRAFT
char_u8c61,象,xiàng,0,“象”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,象人,象家,我在故事里看见“象”。,儿童绘本风：用清楚温暖的生活场景表现“象”的意思，无文字,character meaning words sentence,DRAFT
char_u7334,猴,hóu,0,“猴”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,猴人,猴家,我在故事里看见“猴”。,儿童绘本风：用清楚温暖的生活场景表现“猴”的意思，无文字,character meaning words sentence,DRAFT
char_u9e7f,鹿,lù,0,“鹿”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鹿人,鹿家,我在故事里看见“鹿”。,儿童绘本风：用清楚温暖的生活场景表现“鹿”的意思，无文字,character meaning words sentence,DRAFT
char_u9f20,鼠,shǔ,0,“鼠”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鼠人,鼠家,我在故事里看见“鼠”。,儿童绘本风：用清楚温暖的生活场景表现“鼠”的意思，无文字,character meaning words sentence,DRAFT
char_u7259,牙,yá,0,“牙”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,牙人,牙家,我在故事里看见“牙”。,儿童绘本风：用清楚温暖的生活场景表现“牙”的意思，无文字,character meaning words sentence,DRAFT
char_u8033,耳,ěr,0,“耳”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,耳人,耳家,我在故事里看见“耳”。,儿童绘本风：用清楚温暖的生活场景表现“耳”的意思，无文字,character meaning words sentence,DRAFT
char_u773c,眼,yǎn,0,“眼”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,眼人,眼家,我在故事里看见“眼”。,儿童绘本风：用清楚温暖的生活场景表现“眼”的意思，无文字,character meaning words sentence,DRAFT
char_u9f3b,鼻,bí,0,“鼻”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,鼻人,鼻家,我在故事里看见“鼻”。,儿童绘本风：用清楚温暖的生活场景表现“鼻”的意思，无文字,character meaning words sentence,DRAFT
char_u8138,脸,liǎn,0,“脸”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,脸人,脸家,我在故事里看见“脸”。,儿童绘本风：用清楚温暖的生活场景表现“脸”的意思，无文字,character meaning words sentence,DRAFT
char_u811a,脚,jiǎo,0,“脚”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,脚人,脚家,我在故事里看见“脚”。,儿童绘本风：用清楚温暖的生活场景表现“脚”的意思，无文字,character meaning words sentence,DRAFT
