question_id,character_id,question_type,prompt_audio,correct_option_id,option_ids,min_learned_count,evidence_category,requires_new_image,text_review_status,parent_review_status
q_char_u4e00_listen_choose_character,char_u4e00,LISTEN_CHOOSE_CHARACTER,audio/characters/char_u4e00_v1.mp3,text_char_u4e00,"[""text_char_u4e00"",""text_char_u9a6c"",""text_char_u9c7c"",""text_char_u4e8c""]",1,AUDIO_RECOGNITION,false,PENDING,PENDING
q_char_u4e00_character_choose_image,char_u4e00,CHARACTER_CHOOSE_IMAGE,audio/characters/char_u4e00_v1.mp3,image_char_u4e00,"[""image_char_u4e00"",""image_char_u9a6c"",""image_char_u9c7c"",""image_char_u4e8c""]",1,IMAGE_RECOGNITION,false,PENDING,PENDING
q_char_u4e00_character_choose_audio,char_u4e00,CHARACTER_CHOOSE_AUDIO,audio/characters/char_u4e00_v1.mp3,audio_char_u4e00,"[""audio_char_u4e00"",""audio_char_u9a6c"",""audio_char_u9c7c"",""audio_char_u4e8c""]",1,AUDIO_MATCH,false,PENDING,PENDING
q_char_u4e00_shape_recognition,char_u4e00,SHAPE_RECOGNITION,audio/characters/char_u4e00_v1.mp3,text_char_u4e00,"[""text_char_u4e00"",""text_char_u9a6c"",""text_char_u9c7c"",""text_char_u4e8c""]",1,SHAPE_RECOGNITION,false,PENDING,PENDING
q_char_u4e00_life_word_context,char_u4e00,LIFE_WORD_CONTEXT,audio/characters/char_u4e00_v1.mp3,word_char_u4e00_1,"[""word_char_u4e00_1"",""word_char_u9a6c_1"",""word_char_u9c7c_1"",""word_char_u4e8c_1""]",1,LIFE_WORD_CONTEXT,false,PENDING,PENDING
q_char_u4e8c_listen_choose_character,char_u4e8c,LISTEN_CHOOSE_CHARACTER,audio/characters/char_u4e8c_v1.mp3,text_char_u4e8c,"[""text_char_u4e8c"",""text_char_u4e00"",""text_char_u9a6c"",""text_char_u4e09""]",2,AUDIO_RECOGNITION,false,PENDING,PENDING
q_char_u4e8c_character_choose_image,char_u4e8c,CHARACTER_CHOOSE_IMAGE,audio/characters/char_u4e8c_v1.mp3,image_char_u4e8c,"[""image_char_u4e8c"",""image_char_u4e00"",""image_char_u9a6c"",""image_char_u4e09""]",2,IMAGE_RECOGNITION,false,PENDING,PENDING
q_char_u4e8c_character_choose_audio,char_u4e8c,CHARACTER_CHOOSE_AUDIO,audio/characters/char_u4e8c_v1.mp3,audio_char_u4e8c,"[""audio_char_u4e8c"",""audio_char_u4e00"",""audio_char_u9a6c"",""audio_char_u4e09""]",2,AUDIO_MATCH,false,PENDING,PENDING
q_char_u4e8c_shape_recognition,char_u4e8c,SHAPE_RECOGNITION,audio/characters/char_u4e8c_v1.mp3,text_char_u4e8c,"[""text_char_u4e8c"",""text_char_u4e00"",""text_char_u9a6c"",""text_char_u4e09""]",2,SHAPE_RECOGNITION,false,PENDING,PENDING
q_char_u4e8c_life_word_context,char_u4e8c,LIFE_WORD_CONTEXT,audio/characters/char_u4e8c_v1.mp3,word_char_u4e8c_1,"[""word_char_u4e8c_1"",""word_char_u4e00_1"",""word_char_u9a6c_1"",""word_char_u4e09_1""]",2,LIFE_WORD_CONTEXT,false,PENDING,PENDING
q_char_u4e09_listen_choose_character,char_u4e09,LISTEN_CHOOSE_CHARACTER,audio/characters/char_u4e09_v1.mp3,text_char_u4e09,"[""text_char_u4e09"",""text_char_u4e8c"",""text_char_u4e00"",""text_char_u4e0a""]",3,AUDIO_RECOGNITION,false,PENDING,PENDING
q_char_u4e09_character_choose_image,char_u4e09,CHARACTER_CHOOSE_IMAGE,audio/characters/char_u4e09_v1.mp3,image_char_u4e09,"[""image_char_u4e09"",""image_char_u4e8c"",""image_char_u4e00"",""image_char_u4e0a""]",3,IMAGE_RECOGNITION,false,PENDING,PENDING
q_char_u4e09_character_choose_audio,char_u4e09,CHARACTER_CHOOSE_AUDIO,audio/characters/char_u4e09_v1.mp3,audio_char_u4e09,"[""audio_char_u4e09"",""audio_char_u4e8c"",""audio_char_u4e00"",""audio_char_u4e0a""]",3,AUDIO_MATCH,false,PENDING,PENDING
q_char_u4e09_shape_recognition,char_u4e09,SHAPE_RECOGNITION,audio/characters/char_u4e09_v1.mp3,text_char_u4e09,"[""text_char_u4e09"",""text_char_u4e8c"",""text_char_u4e00"",""text_char_u4e0a""]",3,SHAPE_RECOGNITION,false,PENDING,PENDING
q_char_u4e09_life_word_context,char_u4e09,LIFE_WORD_CONTEXT,audio/characters/char_u4e09_v1.mp3,word_char_u4e09_1,"[""word_char_u4e09_1"",""word_char_u4e8c_1"",""word_char_u4e00_1"",""word_char_u4e0a_1""]",3,LIFE_WORD_CONTEXT,false,PENDING,PENDING
q_char_u4e0a_listen_choose_character,char_u4e0a,LISTEN_CHOOSE_CHARACTER,audio/characters/char_u4e0a_v1.mp3,text_char_u4e0a,"[""text_char_u4e0a"",""text_char_u4e09"",""text_char_u4e8c"",""text_char_u4e0b""]",4,AUDIO_RECOGNITION,false,PENDING,PENDING
q_char_u4e0a_character_choose_image,char_u4e0a,CHARACTER_CHOOSE_IMAGE,audio/characters/char_u4e0a_v1.mp3,image_char_u4e0a,"[""image_char_u4e0a"",""image_char_u4e09"",""image_char_u4e8c"",""image_char_u4e0b""]",4,IMAGE_RECOGNITION,false,PENDING,PENDING
q_char_u4e0a_character_choose_audio,char_u4e0a,CHARACTER_CHOOSE_AUDIO,audio/characters/char_u4e0a_v1.mp3,audio_char_u4e0a,"[""audio_char_u4e0a"",""audio_char_u4e09"",""audio_char_u4e8c"",""audio_char_u4e0b""]",4,AUDIO_MATCH,false,PENDING,PENDING
q_char_u4e0a_shape_recognition,char_u4e0a,SHAPE_RECOGNITION,audio/characters/char_u4e0a_v1.mp3,text_char_u4e0a,"[""text_char_u4e0a"",""text_char_u4e09"",""text_char_u4e8c"",""text_char_u4e0b""]",4,SHAPE_RECOGNITION,false,PENDING,PENDING
q_char_u4e0a_life_word_context,char_u4e0a,LIFE_WORD_CONTEXT,audio/characters/char_u4e0a_v1.mp3,word_char_u4e0a_1,"[""word_char_u4e0a_1"",""word_char_u4e09_1"",""word_char_u4e8c_1"",""word_char_u4e0b_1""]",4,LIFE_WORD_CONTEXT,false,PENDING,PENDING
