id,text,filename
char_u725b_v1,牛,audio/characters/char_u725b_v1.mp3
meaning_u725b_v1,牛是一种吃草的大动物，有些牛会产牛奶。,audio/meanings/meaning_u725b_v1.mp3
word_u725b_1_v1,小牛,audio/words/word_u725b_1_v1.mp3
word_u725b_2_v1,牛奶,audio/words/word_u725b_2_v1.mp3
word_u725b_3_v1,水牛,audio/words/word_u725b_3_v1.mp3
sentence_u725b_v1,小牛在田边吃草。,audio/sentences/sentence_u725b_v1.mp3
char_u7f8a_v1,羊,audio/characters/char_u7f8a_v1.mp3
meaning_u7f8a_v1,羊是一种吃草的动物，身上常有软软的毛。,audio/meanings/meaning_u7f8a_v1.mp3
word_u7f8a_1_v1,小羊,audio/words/word_u7f8a_1_v1.mp3
word_u7f8a_2_v1,山羊,audio/words/word_u7f8a_2_v1.mp3
word_u7f8a_3_v1,羊毛,audio/words/word_u7f8a_3_v1.mp3
sentence_u7f8a_v1,山上有一只小羊。,audio/sentences/sentence_u7f8a_v1.mp3
char_u9e1f_v1,鸟,audio/characters/char_u9e1f_v1.mp3
meaning_u9e1f_v1,鸟有羽毛、翅膀和嘴，很多鸟会飞。,audio/meanings/meaning_u9e1f_v1.mp3
word_u9e1f_1_v1,小鸟,audio/words/word_u9e1f_1_v1.mp3
word_u9e1f_2_v1,鸟叫,audio/words/word_u9e1f_2_v1.mp3
word_u9e1f_3_v1,鸟窝,audio/words/word_u9e1f_3_v1.mp3
sentence_u9e1f_v1,小鸟在树上唱歌。,audio/sentences/sentence_u9e1f_v1.mp3
char_u9c7c_v1,鱼,audio/characters/char_u9c7c_v1.mp3
meaning_u9c7c_v1,鱼生活在水里，用鳍游来游去。,audio/meanings/meaning_u9c7c_v1.mp3
word_u9c7c_1_v1,小鱼,audio/words/word_u9c7c_1_v1.mp3
word_u9c7c_2_v1,金鱼,audio/words/word_u9c7c_2_v1.mp3
word_u9c7c_3_v1,鱼缸,audio/words/word_u9c7c_3_v1.mp3
sentence_u9c7c_v1,小鱼在水里游来游去。,audio/sentences/sentence_u9c7c_v1.mp3
char_u9a6c_v1,马,audio/characters/char_u9a6c_v1.mp3
meaning_u9a6c_v1,马是一种会跑得很快的大动物，也能驮东西。,audio/meanings/meaning_u9a6c_v1.mp3
word_u9a6c_1_v1,小马,audio/words/word_u9a6c_1_v1.mp3
word_u9a6c_2_v1,木马,audio/words/word_u9a6c_2_v1.mp3
word_u9a6c_3_v1,马车,audio/words/word_u9a6c_3_v1.mp3
sentence_u9a6c_v1,小马跑得真快。,audio/sentences/sentence_u9a6c_v1.mp3
