id,character_id,type,text,output_file
char_u4e00_v1,char_u4e00,character,一,audio/characters/char_u4e00_v1.mp3
meaning_u4e00_v1,char_u4e00,meaning,一表示只有一个。伸出一根手指，就是一。,audio/meanings/meaning_u4e00_v1.mp3
word_u4e00_1_v1,char_u4e00,word,一个,audio/words/word_u4e00_1_v1.mp3
word_u4e00_2_v1,char_u4e00,word,一天,audio/words/word_u4e00_2_v1.mp3
word_u4e00_3_v1,char_u4e00,word,一口,audio/words/word_u4e00_3_v1.mp3
sentence_u4e00_v1,char_u4e00,sentence,山上有一个人。,audio/sentences/sentence_u4e00_v1.mp3
char_u4e8c_v1,char_u4e8c,character,二,audio/characters/char_u4e8c_v1.mp3
meaning_u4e8c_v1,char_u4e8c,meaning,二表示有两个，排在一后面。,audio/meanings/meaning_u4e8c_v1.mp3
word_u4e8c_1_v1,char_u4e8c,word,二月,audio/words/word_u4e8c_1_v1.mp3
word_u4e8c_2_v1,char_u4e8c,word,第二,audio/words/word_u4e8c_2_v1.mp3
word_u4e8c_3_v1,char_u4e8c,word,一二三,audio/words/word_u4e8c_3_v1.mp3
sentence_u4e8c_v1,char_u4e8c,sentence,我们一起数一、二、三。,audio/sentences/sentence_u4e8c_v1.mp3
char_u4e09_v1,char_u4e09,character,三,audio/characters/char_u4e09_v1.mp3
meaning_u4e09_v1,char_u4e09,meaning,三表示有三个，排在二后面。,audio/meanings/meaning_u4e09_v1.mp3
word_u4e09_1_v1,char_u4e09,word,三个,audio/words/word_u4e09_1_v1.mp3
word_u4e09_2_v1,char_u4e09,word,三天,audio/words/word_u4e09_2_v1.mp3
word_u4e09_3_v1,char_u4e09,word,三月,audio/words/word_u4e09_3_v1.mp3
sentence_u4e09_v1,char_u4e09,sentence,水里有三条小鱼。,audio/sentences/sentence_u4e09_v1.mp3
char_u4e0a_v1,char_u4e0a,character,上,audio/characters/char_u4e0a_v1.mp3
meaning_u4e0a_v1,char_u4e0a,meaning,上表示比较高的位置，也可以表示从低处往高处去。,audio/meanings/meaning_u4e0a_v1.mp3
word_u4e0a_1_v1,char_u4e0a,word,上面,audio/words/word_u4e0a_1_v1.mp3
word_u4e0a_2_v1,char_u4e0a,word,上山,audio/words/word_u4e0a_2_v1.mp3
word_u4e0a_3_v1,char_u4e0a,word,天上,audio/words/word_u4e0a_3_v1.mp3
sentence_u4e0a_v1,char_u4e0a,sentence,小鸟飞到树上。,audio/sentences/sentence_u4e0a_v1.mp3
char_u4e0b_v1,char_u4e0b,character,下,audio/characters/char_u4e0b_v1.mp3
meaning_u4e0b_v1,char_u4e0b,meaning,下表示比较低的位置，也可以表示从高处往低处去。,audio/meanings/meaning_u4e0b_v1.mp3
word_u4e0b_1_v1,char_u4e0b,word,下面,audio/words/word_u4e0b_1_v1.mp3
word_u4e0b_2_v1,char_u4e0b,word,下山,audio/words/word_u4e0b_2_v1.mp3
word_u4e0b_3_v1,char_u4e0b,word,下雨,audio/words/word_u4e0b_3_v1.mp3
sentence_u4e0b_v1,char_u4e0b,sentence,雨从天上落下来。,audio/sentences/sentence_u4e0b_v1.mp3
char_u65e5_v1,char_u65e5,character,日,audio/characters/char_u65e5_v1.mp3
meaning_u65e5_v1,char_u65e5,meaning,日就是太阳的“日”，也常用来表示一天。,audio/meanings/meaning_u65e5_v1.mp3
word_u65e5_1_v1,char_u65e5,word,日出,audio/words/word_u65e5_1_v1.mp3
word_u65e5_2_v1,char_u65e5,word,日光,audio/words/word_u65e5_2_v1.mp3
word_u65e5_3_v1,char_u65e5,word,日历,audio/words/word_u65e5_3_v1.mp3
sentence_u65e5_v1,char_u65e5,sentence,日出时，天慢慢亮了。,audio/sentences/sentence_u65e5_v1.mp3
char_u6708_v1,char_u6708,character,月,audio/characters/char_u6708_v1.mp3
meaning_u6708_v1,char_u6708,meaning,月就是月亮的“月”，也可以表示月份。,audio/meanings/meaning_u6708_v1.mp3
word_u6708_1_v1,char_u6708,word,月亮,audio/words/word_u6708_1_v1.mp3
word_u6708_2_v1,char_u6708,word,月光,audio/words/word_u6708_2_v1.mp3
word_u6708_3_v1,char_u6708,word,月牙,audio/words/word_u6708_3_v1.mp3
sentence_u6708_v1,char_u6708,sentence,月亮挂在天上。,audio/sentences/sentence_u6708_v1.mp3
char_u6c34_v1,char_u6c34,character,水,audio/characters/char_u6c34_v1.mp3
meaning_u6c34_v1,char_u6c34,meaning,水可以喝、洗东西，鱼也生活在水里。,audio/meanings/meaning_u6c34_v1.mp3
word_u6c34_1_v1,char_u6c34,word,喝水,audio/words/word_u6c34_1_v1.mp3
word_u6c34_2_v1,char_u6c34,word,河水,audio/words/word_u6c34_2_v1.mp3
word_u6c34_3_v1,char_u6c34,word,水杯,audio/words/word_u6c34_3_v1.mp3
