character_id,character,output_file,prompt
char_u4e00,一,images/characters/char_u4e00_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：同一画布中只有1个红苹果；无数字、汉字或手指"
char_u4e8c,二,images/characters/char_u4e8c_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：与一和三使用同一苹果画布，只改变数量为2"
char_u4e09,三,images/characters/char_u4e09_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：与一和二使用同一苹果画布，只改变数量为3"
char_u4e0a,上,images/characters/char_u4e0a_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：球在桌面上；与下使用同一球、桌子、视角、颜色和背景"
char_u4e0b,下,images/characters/char_u4e0b_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：球在桌子下面；除位置外与上图片一致"
char_u65e5,日,images/characters/char_u65e5_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：清楚太阳或日出；无月亮、星星或文字"
char_u6708,月,images/characters/char_u6708_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：月亮为唯一主旨；无太阳"
char_u6c34,水,images/characters/char_u6c34_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：透明水倒入透明杯；主选项图无鱼"
char_u706b,火,images/characters/char_u706b_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：单一可控小火苗；无火灾、爆炸或惊吓场景"
char_u6728,木,images/characters/char_u6728_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：一棵主体清楚的树或一块木头；无杂乱森林"
char_u5929,天,images/characters/char_u5929_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：清澈蓝天和简单地平线；无突出云、雨或太阳"
char_u4e91,云,images/characters/char_u4e91_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：一朵轮廓清楚的云；无雨滴"
char_u96e8,雨,images/characters/char_u96e8_main_v1.webp,"儿童识字APP教学插画，统一现代扁平绘本风格，1024×1024正方形，浅米色纯净背景，主体居中占画面约70%，轮廓清楚，颜色柔和，适合4—7岁儿童，一眼可识别，画面只有一个明确主旨，无文字、无拼音、无数字、无水印、无Logo、无边框、无复杂装饰。
本张图片主题：雨滴和雨伞；不与雪或冰雹混淆"
