id,character,pinyin,tone,meaning_for_child,word_1,word_2,sentence,image_prompt,audio_required,review_status
char_u4e2d,中,zhōng,0,“中”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,中人,中家,我在故事里看见“中”。,儿童绘本风：用清楚温暖的生活场景表现“中”的意思，无文字,character meaning words sentence,DRAFT
char_u53f3,右,yòu,0,“右”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,右人,右家,我在故事里看见“右”。,儿童绘本风：用清楚温暖的生活场景表现“右”的意思，无文字,character meaning words sentence,DRAFT
char_u5de6,左,zuǒ,0,“左”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,左人,左家,我在故事里看见“左”。,儿童绘本风：用清楚温暖的生活场景表现“左”的意思，无文字,character meaning words sentence,DRAFT
char_u524d,前,qián,0,“前”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,前人,前家,我在故事里看见“前”。,儿童绘本风：用清楚温暖的生活场景表现“前”的意思，无文字,character meaning words sentence,DRAFT
char_u540e,后,hòu,0,“后”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,后人,后家,我在故事里看见“后”。,儿童绘本风：用清楚温暖的生活场景表现“后”的意思，无文字,character meaning words sentence,DRAFT
char_u91cc,里,lǐ,0,“里”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,里人,里家,我在故事里看见“里”。,儿童绘本风：用清楚温暖的生活场景表现“里”的意思，无文字,character meaning words sentence,DRAFT
char_u5916,外,wài,0,“外”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,外人,外家,我在故事里看见“外”。,儿童绘本风：用清楚温暖的生活场景表现“外”的意思，无文字,character meaning words sentence,DRAFT
char_u591a,多,duō,0,“多”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,多人,多家,我在故事里看见“多”。,儿童绘本风：用清楚温暖的生活场景表现“多”的意思，无文字,character meaning words sentence,DRAFT
char_u5c11,少,shǎo,0,“少”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,少人,少家,我在故事里看见“少”。,儿童绘本风：用清楚温暖的生活场景表现“少”的意思，无文字,character meaning words sentence,DRAFT
char_u957f,长,zhǎng,0,“长”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,长人,长家,我在故事里看见“长”。,儿童绘本风：用清楚温暖的生活场景表现“长”的意思，无文字,character meaning words sentence,DRAFT
char_u77ed,短,duǎn,0,“短”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,短人,短家,我在故事里看见“短”。,儿童绘本风：用清楚温暖的生活场景表现“短”的意思，无文字,character meaning words sentence,DRAFT
char_u9ad8,高,gāo,0,“高”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,高人,高家,我在故事里看见“高”。,儿童绘本风：用清楚温暖的生活场景表现“高”的意思，无文字,character meaning words sentence,DRAFT
char_u4f4e,低,dī,0,“低”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,低人,低家,我在故事里看见“低”。,儿童绘本风：用清楚温暖的生活场景表现“低”的意思，无文字,character meaning words sentence,DRAFT
char_u5feb,快,kuài,0,“快”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,快人,快家,我在故事里看见“快”。,儿童绘本风：用清楚温暖的生活场景表现“快”的意思，无文字,character meaning words sentence,DRAFT
char_u6162,慢,màn,0,“慢”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,慢人,慢家,我在故事里看见“慢”。,儿童绘本风：用清楚温暖的生活场景表现“慢”的意思，无文字,character meaning words sentence,DRAFT
char_u767d,白,bái,0,“白”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,白人,白家,我在故事里看见“白”。,儿童绘本风：用清楚温暖的生活场景表现“白”的意思，无文字,character meaning words sentence,DRAFT
char_u7ea2,红,hóng,0,“红”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,红人,红家,我在故事里看见“红”。,儿童绘本风：用清楚温暖的生活场景表现“红”的意思，无文字,character meaning words sentence,DRAFT
char_u9ec4,黄,huáng,0,“黄”是生活中常见的字宝宝，我们在故事和游戏里会遇到它。,黄人,黄家,我在故事里看见“黄”。,儿童绘本风：用清楚温暖的生活场景表现“黄”的意思，无文字,character meaning words sentence,DRAFT
