question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u4eba_listen,char_u4eba,LISTEN_CHOOSE_CHARACTER,人,口,大,山,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u53e3_listen,char_u53e3,LISTEN_CHOOSE_CHARACTER,口,人,大,山,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5927_listen,char_u5927,LISTEN_CHOOSE_CHARACTER,大,小,人,口,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5c0f_listen,char_u5c0f,LISTEN_CHOOSE_CHARACTER,小,大,手,山,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u624b_listen,char_u624b,LISTEN_CHOOSE_CHARACTER,手,头,人,口,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5934_listen,char_u5934,LISTEN_CHOOSE_CHARACTER,头,手,大,小,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u7238_listen,char_u7238,LISTEN_CHOOSE_CHARACTER,爸,妈,人,家,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5988_listen,char_u5988,LISTEN_CHOOSE_CHARACTER,妈,爸,家,门,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5bb6_listen,char_u5bb6,LISTEN_CHOOSE_CHARACTER,家,门,爸,妈,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u95e8_listen,char_u95e8,LISTEN_CHOOSE_CHARACTER,门,家,口,上,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5c71_listen,char_u5c71,LISTEN_CHOOSE_CHARACTER,山,水,木,天,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u6c34_listen,char_u6c34,LISTEN_CHOOSE_CHARACTER,水,山,火,雨,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u706b_listen,char_u706b,LISTEN_CHOOSE_CHARACTER,火,水,木,灯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u6728_listen,char_u6728,LISTEN_CHOOSE_CHARACTER,木,火,山,花,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u65e5_listen,char_u65e5,LISTEN_CHOOSE_CHARACTER,日,月,天,云,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u6708_listen,char_u6708,LISTEN_CHOOSE_CHARACTER,月,日,天,水,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5929_listen,char_u5929,LISTEN_CHOOSE_CHARACTER,天,日,月,云,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u4e91_listen,char_u4e91,LISTEN_CHOOSE_CHARACTER,云,雨,天,风,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u96e8_listen,char_u96e8,LISTEN_CHOOSE_CHARACTER,雨,云,水,风,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u98ce_listen,char_u98ce,LISTEN_CHOOSE_CHARACTER,风,雨,云,火,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u725b_listen,char_u725b,LISTEN_CHOOSE_CHARACTER,牛,羊,马,鸟,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u7f8a_listen,char_u7f8a,LISTEN_CHOOSE_CHARACTER,羊,牛,兔,鸟,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u9e1f_listen,char_u9e1f,LISTEN_CHOOSE_CHARACTER,鸟,鱼,牛,羊,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u9c7c_listen,char_u9c7c,LISTEN_CHOOSE_CHARACTER,鱼,鸟,牛,花,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u9a6c_listen,char_u9a6c,LISTEN_CHOOSE_CHARACTER,马,牛,羊,鸟,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u732b_listen,char_u732b,LISTEN_CHOOSE_CHARACTER,猫,狗,兔,虫,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u72d7_listen,char_u72d7,LISTEN_CHOOSE_CHARACTER,狗,猫,牛,马,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5154_listen,char_u5154,LISTEN_CHOOSE_CHARACTER,兔,猫,狗,羊,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u866b_listen,char_u866b,LISTEN_CHOOSE_CHARACTER,虫,花,鸟,鱼,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u82b1_listen,char_u82b1,LISTEN_CHOOSE_CHARACTER,花,木,虫,水,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u8863_listen,char_u8863,LISTEN_CHOOSE_CHARACTER,衣,食,书,杯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u98df_listen,char_u98df,LISTEN_CHOOSE_CHARACTER,食,衣,饭,米,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u7c73_listen,char_u7c73,LISTEN_CHOOSE_CHARACTER,米,饭,食,水,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u996d_listen,char_u996d,LISTEN_CHOOSE_CHARACTER,饭,米,食,杯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u676f_listen,char_u676f,LISTEN_CHOOSE_CHARACTER,杯,水,书,米,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u4e66_listen,char_u4e66,LISTEN_CHOOSE_CHARACTER,书,看,车,桌,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u8f66_listen,char_u8f66,LISTEN_CHOOSE_CHARACTER,车,马,书,灯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u706f_listen,char_u706f,LISTEN_CHOOSE_CHARACTER,灯,火,床,桌,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5e8a_listen,char_u5e8a,LISTEN_CHOOSE_CHARACTER,床,桌,家,灯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u684c_listen,char_u684c,LISTEN_CHOOSE_CHARACTER,桌,床,书,杯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u770b_listen,char_u770b,LISTEN_CHOOSE_CHARACTER,看,听,书,米,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u542c_listen,char_u542c,LISTEN_CHOOSE_CHARACTER,听,看,鸟,书,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u8d70_listen,char_u8d70,LISTEN_CHOOSE_CHARACTER,走,跑,来,去,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u8dd1_listen,char_u8dd1,LISTEN_CHOOSE_CHARACTER,跑,走,来,去,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u6765_listen,char_u6765,LISTEN_CHOOSE_CHARACTER,来,去,走,跑,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u53bb_listen,char_u53bb,LISTEN_CHOOSE_CHARACTER,去,来,上,下,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u4e0a_listen,char_u4e0a,LISTEN_CHOOSE_CHARACTER,上,下,来,去,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u4e0b_listen,char_u4e0b,LISTEN_CHOOSE_CHARACTER,下,上,去,开,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5f00_listen,char_u5f00,LISTEN_CHOOSE_CHARACTER,开,关,门,灯,prompt_listen_choose_character_v1.mp3,ACTIVE
q_char_u5173_listen,char_u5173,LISTEN_CHOOSE_CHARACTER,关,开,门,灯,prompt_listen_choose_character_v1.mp3,ACTIVE
