id,character,order,pinyin,tone_number,meaning_for_child,teaching_prompt,image_theme
char_u4e00,一,6,yī,1,一表示只有一个。伸出一根手指，就是一。,数一数，只有一个，所以是“一”。它读作 yī。,同一画布中只有1个红苹果；无数字、汉字或手指
char_u4e8c,二,7,èr,4,二表示有两个，排在一后面。,数一数，这里有两个，所以是“二”。它读作 èr。,与一和三使用同一苹果画布，只改变数量为2
char_u4e09,三,8,sān,1,三表示有三个，排在二后面。,数一数，这里有三个，所以是“三”。它读作 sān。,与一和二使用同一苹果画布，只改变数量为3
char_u4e0a,上,9,shàng,4,上表示比较高的位置，也可以表示从低处往高处去。,看一看，球在桌子上面。“上”表示比较高的位置。,球在桌面上；与下使用同一球、桌子、视角、颜色和背景
char_u4e0b,下,10,xià,4,下表示比较低的位置，也可以表示从高处往低处去。,看一看，球在桌子下面。“下”表示比较低的位置。,球在桌子下面；除位置外与上图片一致
char_u65e5,日,11,rì,4,日就是太阳的“日”，也常用来表示一天。,天上圆圆亮亮的太阳，可以用“日”来表示。日读作 rì。,清楚太阳或日出；无月亮、星星或文字
char_u6708,月,12,yuè,4,月就是月亮的“月”，也可以表示月份。,夜里弯弯或圆圆的月亮，可以用“月”来表示。月读作 yuè。,月亮为唯一主旨；无太阳
char_u6c34,水,13,shuǐ,3,水可以喝、洗东西，鱼也生活在水里。,杯子里能喝、能洗东西的透明液体是水。水读作 shuǐ。,透明水倒入透明杯；主选项图无鱼
char_u706b,火,14,huǒ,3,火会发光发热，也会烫伤人，要离它远一点。,会发光、会发热的火苗是火。火很烫，要离远一点。,单一可控小火苗；无火灾、爆炸或惊吓场景
char_u6728,木,15,mù,4,木就是树木，也常指做东西用的木头。,树木和做东西用的木头，都有“木”。木读作 mù。,一棵主体清楚的树或一块木头；无杂乱森林
char_u5929,天,16,tiān,1,天是我们头顶上很高很大的天空。,抬头看，我们头顶上很高很大的地方是天。,清澈蓝天和简单地平线；无突出云、雨或太阳
char_u4e91,云,17,yún,2,云是在天空中一团团白色或灰色的水汽。,天空中一团团白色或灰色的是云。,一朵轮廓清楚的云；无雨滴
char_u96e8,雨,18,yǔ,3,雨是云里的小水滴落到地面。,小水滴从云里落下来，就是雨。,雨滴和雨伞；不与雪或冰雹混淆
char_u98ce,风,19,fēng,1,风是流动的空气，看不见，却能吹动树叶和风车。,风看不见，却能吹动树叶和风车。,风车与同方向飘动叶子；风车不成为唯一答案
char_u7530,田,20,tián,2,田是一块块用来种庄稼的土地。,一块块种庄稼的土地叫田。,有清楚田埂分区的田地；不用普通草坪代替
char_u624b,手,21,shǒu,3,手在手臂的前面，可以拿东西、拍手和写字。,我们用手拿东西、拍手、写字。,张开的手掌，完整显示五指；不只显示手臂
char_u5934,头,22,tóu,2,头在身体最上面，眼睛、耳朵和嘴都长在头上。,眼睛、耳朵和嘴都长在头上。,儿童头部或头部轮廓；不作眼耳牙干扰图
char_u8033,耳,23,ěr,3,耳就是耳朵，在头的两边，帮助我们听声音。,耳朵在头的两边，帮助我们听声音。,单独清楚耳朵近景；不同时突出眼睛或嘴
char_u773c,眼,24,yǎn,3,眼就是眼睛，帮助我们看见东西。,眼睛帮助我们看见人、物和颜色。,两只自然睁开的眼睛；不用眼镜代替
char_u7259,牙,25,yá,2,牙在嘴里，帮助我们咬和嚼食物。,牙齿在嘴里，帮助我们咬和嚼食物。,清楚牙齿或牙齿与牙刷；整张嘴不是唯一主旨
char_u725b,牛,26,niú,2,牛是一种吃草的大动物，有些牛会产牛奶。,牛是吃草的大动物，有些牛会产牛奶。,完整站立黄牛，侧前方；无羊马奶盒品牌或复杂农场
char_u7f8a,羊,27,yáng,2,羊是一种吃草的动物，身上常有软软的毛。,羊是吃草的动物，身上常有软软的毛。,完整羊，轮廓清楚；不与牛共用母版
char_u9e1f,鸟,28,niǎo,3,鸟有羽毛、翅膀和嘴，很多鸟会飞。,鸟有羽毛、翅膀和嘴，很多鸟会飞。,单只完整小鸟；纯净背景避免树木成答案
char_u9c7c,鱼,29,yú,2,鱼生活在水里，用鳍游来游去。,鱼生活在水里，用鳍游来游去。,单条完整鱼；弱化水背景避免水成答案
char_u9a6c,马,30,mǎ,3,马是一种会跑得很快的大动物，也能驮东西。,马是会跑得很快的大动物，也能驮东西。,完整自然姿态马；无斑马驴或玩具木马
