id,text,filename
char_u4eba_character,人,audio/characters/char_u4eba_v1.mp3
char_u4eba_meaning,人就是你和我这样的朋友。,audio/meanings/meaning_char_u4eba_v1.mp3
char_u4eba_word1,大人,audio/words/char_u4eba_1_v1.mp3
char_u4eba_word2,家人,audio/words/char_u4eba_2_v1.mp3
char_u4eba_sentence,我和妈妈都是人。,audio/sentences/char_u4eba_v1.mp3
char_u53e3_character,口,audio/characters/char_u53e3_v1.mp3
char_u53e3_meaning,口就是嘴巴，可以吃东西和说话。,audio/meanings/meaning_char_u53e3_v1.mp3
char_u53e3_word1,开口,audio/words/char_u53e3_1_v1.mp3
char_u53e3_word2,门口,audio/words/char_u53e3_2_v1.mp3
char_u53e3_sentence,我开口说你好。,audio/sentences/char_u53e3_v1.mp3
char_u5927_character,大,audio/characters/char_u5927_v1.mp3
char_u5927_meaning,大表示占的地方更多或个子更高。,audio/meanings/meaning_char_u5927_v1.mp3
char_u5927_word1,大人,audio/words/char_u5927_1_v1.mp3
char_u5927_word2,大山,audio/words/char_u5927_2_v1.mp3
char_u5927_sentence,这是一只大大的熊。,audio/sentences/char_u5927_v1.mp3
char_u5c0f_character,小,audio/characters/char_u5c0f_v1.mp3
char_u5c0f_meaning,小表示占的地方更少或个子更矮。,audio/meanings/meaning_char_u5c0f_v1.mp3
char_u5c0f_word1,小手,audio/words/char_u5c0f_1_v1.mp3
char_u5c0f_word2,小猫,audio/words/char_u5c0f_2_v1.mp3
char_u5c0f_sentence,小猫在睡觉。,audio/sentences/char_u5c0f_v1.mp3
char_u624b_character,手,audio/characters/char_u624b_v1.mp3
char_u624b_meaning,手可以拿东西、挥一挥和做动作。,audio/meanings/meaning_char_u624b_v1.mp3
char_u624b_word1,小手,audio/words/char_u624b_1_v1.mp3
char_u624b_word2,手指,audio/words/char_u624b_2_v1.mp3
char_u624b_sentence,我用手拿杯子。,audio/sentences/char_u624b_v1.mp3
char_u5934_character,头,audio/characters/char_u5934_v1.mp3
char_u5934_meaning,头在身体的最上面，有眼睛耳朵和嘴巴。,audio/meanings/meaning_char_u5934_v1.mp3
char_u5934_word1,头发,audio/words/char_u5934_1_v1.mp3
char_u5934_word2,点头,audio/words/char_u5934_2_v1.mp3
char_u5934_sentence,我点点头说好。,audio/sentences/char_u5934_v1.mp3
char_u7238_character,爸,audio/characters/char_u7238_v1.mp3
char_u7238_meaning,爸爸是照顾和陪伴我们的家人。,audio/meanings/meaning_char_u7238_v1.mp3
char_u7238_word1,爸爸,audio/words/char_u7238_1_v1.mp3
char_u7238_word2,爸妈,audio/words/char_u7238_2_v1.mp3
char_u7238_sentence,爸爸陪我看书。,audio/sentences/char_u7238_v1.mp3
char_u5988_character,妈,audio/characters/char_u5988_v1.mp3
char_u5988_meaning,妈妈是照顾和陪伴我们的家人。,audio/meanings/meaning_char_u5988_v1.mp3
char_u5988_word1,妈妈,audio/words/char_u5988_1_v1.mp3
char_u5988_word2,爸妈,audio/words/char_u5988_2_v1.mp3
char_u5988_sentence,妈妈给我一个拥抱。,audio/sentences/char_u5988_v1.mp3
char_u5bb6_character,家,audio/characters/char_u5bb6_v1.mp3
char_u5bb6_meaning,家是我们生活和休息的地方。,audio/meanings/meaning_char_u5bb6_v1.mp3
char_u5bb6_word1,家人,audio/words/char_u5bb6_1_v1.mp3
char_u5bb6_word2,回家,audio/words/char_u5bb6_2_v1.mp3
char_u5bb6_sentence,我喜欢回家。,audio/sentences/char_u5bb6_v1.mp3
char_u95e8_character,门,audio/characters/char_u95e8_v1.mp3
char_u95e8_meaning,门可以打开和关上，进出房间要经过门。,audio/meanings/meaning_char_u95e8_v1.mp3
char_u95e8_word1,门口,audio/words/char_u95e8_1_v1.mp3
char_u95e8_word2,开门,audio/words/char_u95e8_2_v1.mp3
char_u95e8_sentence,我从门口走进家。,audio/sentences/char_u95e8_v1.mp3
char_u5c71_character,山,audio/characters/char_u5c71_v1.mp3
char_u5c71_meaning,山是地面上高高隆起的地方。,audio/meanings/meaning_char_u5c71_v1.mp3
char_u5c71_word1,大山,audio/words/char_u5c71_1_v1.mp3
char_u5c71_word2,山上,audio/words/char_u5c71_2_v1.mp3
char_u5c71_sentence,远处有一座山。,audio/sentences/char_u5c71_v1.mp3
char_u6c34_character,水,audio/characters/char_u6c34_v1.mp3
char_u6c34_meaning,水可以喝，也可以洗手和洗东西。,audio/meanings/meaning_char_u6c34_v1.mp3
char_u6c34_word1,喝水,audio/words/char_u6c34_1_v1.mp3
char_u6c34_word2,水杯,audio/words/char_u6c34_2_v1.mp3
char_u6c34_sentence,宝宝每天都要喝水。,audio/sentences/char_u6c34_v1.mp3
char_u706b_character,火,audio/characters/char_u706b_v1.mp3
char_u706b_meaning,火会发光发热，要和大人一起安全使用。,audio/meanings/meaning_char_u706b_v1.mp3
char_u706b_word1,火车,audio/words/char_u706b_1_v1.mp3
char_u706b_word2,火苗,audio/words/char_u706b_2_v1.mp3
char_u706b_sentence,小火苗在炉子里。,audio/sentences/char_u706b_v1.mp3
char_u6728_character,木,audio/characters/char_u6728_v1.mp3
char_u6728_meaning,木头来自树，可以做成很多东西。,audio/meanings/meaning_char_u6728_v1.mp3
char_u6728_word1,木头,audio/words/char_u6728_1_v1.mp3
char_u6728_word2,木门,audio/words/char_u6728_2_v1.mp3
char_u6728_sentence,这是一扇木门。,audio/sentences/char_u6728_v1.mp3
char_u65e5_character,日,audio/characters/char_u65e5_v1.mp3
char_u65e5_meaning,太阳出来的白天可以叫日。,audio/meanings/meaning_char_u65e5_v1.mp3
char_u65e5_word1,日出,audio/words/char_u65e5_1_v1.mp3
char_u65e5_word2,日子,audio/words/char_u65e5_2_v1.mp3
char_u65e5_sentence,今天是快乐的一日。,audio/sentences/char_u65e5_v1.mp3
char_u6708_character,月,audio/characters/char_u6708_v1.mp3
char_u6708_meaning,月亮在晚上天空中发光。,audio/meanings/meaning_char_u6708_v1.mp3
char_u6708_word1,月亮,audio/words/char_u6708_1_v1.mp3
char_u6708_word2,月光,audio/words/char_u6708_2_v1.mp3
char_u6708_sentence,月亮照着小路。,audio/sentences/char_u6708_v1.mp3
char_u5929_character,天,audio/characters/char_u5929_v1.mp3
char_u5929_meaning,头顶上很高很大的地方就是天空。,audio/meanings/meaning_char_u5929_v1.mp3
char_u5929_word1,今天,audio/words/char_u5929_1_v1.mp3
char_u5929_word2,天空,audio/words/char_u5929_2_v1.mp3
char_u5929_sentence,今天的天空很蓝。,audio/sentences/char_u5929_v1.mp3
char_u4e91_character,云,audio/characters/char_u4e91_v1.mp3
char_u4e91_meaning,云是一团团飘在天空中的白色或灰色东西。,audio/meanings/meaning_char_u4e91_v1.mp3
char_u4e91_word1,白云,audio/words/char_u4e91_1_v1.mp3
char_u4e91_word2,云朵,audio/words/char_u4e91_2_v1.mp3
char_u4e91_sentence,白云在天空中飘。,audio/sentences/char_u4e91_v1.mp3
char_u96e8_character,雨,audio/characters/char_u96e8_v1.mp3
char_u96e8_meaning,雨是从云里落下来的小水滴。,audio/meanings/meaning_char_u96e8_v1.mp3
char_u96e8_word1,下雨,audio/words/char_u96e8_1_v1.mp3
char_u96e8_word2,雨伞,audio/words/char_u96e8_2_v1.mp3
char_u96e8_sentence,下雨了我要撑伞。,audio/sentences/char_u96e8_v1.mp3
char_u98ce_character,风,audio/characters/char_u98ce_v1.mp3
char_u98ce_meaning,风看不见，但能吹动树叶和头发。,audio/meanings/meaning_char_u98ce_v1.mp3
char_u98ce_word1,大风,audio/words/char_u98ce_1_v1.mp3
char_u98ce_word2,风车,audio/words/char_u98ce_2_v1.mp3
char_u98ce_sentence,风吹动了风车。,audio/sentences/char_u98ce_v1.mp3
char_u725b_character,牛,audio/characters/char_u725b_v1.mp3
char_u725b_meaning,牛是生活在农场里的大动物。,audio/meanings/meaning_char_u725b_v1.mp3
char_u725b_word1,奶牛,audio/words/char_u725b_1_v1.mp3
char_u725b_word2,小牛,audio/words/char_u725b_2_v1.mp3
char_u725b_sentence,奶牛在草地上吃草。,audio/sentences/char_u725b_v1.mp3
char_u7f8a_character,羊,audio/characters/char_u7f8a_v1.mp3
char_u7f8a_meaning,羊有软软的毛，喜欢在草地上吃草。,audio/meanings/meaning_char_u7f8a_v1.mp3
char_u7f8a_word1,小羊,audio/words/char_u7f8a_1_v1.mp3
char_u7f8a_word2,山羊,audio/words/char_u7f8a_2_v1.mp3
char_u7f8a_sentence,小羊在草地上跑。,audio/sentences/char_u7f8a_v1.mp3
char_u9e1f_character,鸟,audio/characters/char_u9e1f_v1.mp3
char_u9e1f_meaning,鸟有翅膀，可以在天空中飞。,audio/meanings/meaning_char_u9e1f_v1.mp3
