question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u90fd_listen,char_u90fd,LISTEN_CHOOSE_CHARACTER,都,也,还,又,draft,DRAFT
q_char_u4e5f_listen,char_u4e5f,LISTEN_CHOOSE_CHARACTER,也,还,又,再,draft,DRAFT
q_char_u8fd8_listen,char_u8fd8,LISTEN_CHOOSE_CHARACTER,还,又,再,很,draft,DRAFT
q_char_u53c8_listen,char_u53c8,LISTEN_CHOOSE_CHARACTER,又,再,很,最,draft,DRAFT
q_char_u518d_listen,char_u518d,LISTEN_CHOOSE_CHARACTER,再,很,最,真,draft,DRAFT
q_char_u5f88_listen,char_u5f88,LISTEN_CHOOSE_CHARACTER,很,最,真,太,draft,DRAFT
q_char_u6700_listen,char_u6700,LISTEN_CHOOSE_CHARACTER,最,真,太,今,draft,DRAFT
q_char_u771f_listen,char_u771f,LISTEN_CHOOSE_CHARACTER,真,太,今,明,draft,DRAFT
q_char_u592a_listen,char_u592a,LISTEN_CHOOSE_CHARACTER,太,今,明,年,draft,DRAFT
q_char_u4eca_listen,char_u4eca,LISTEN_CHOOSE_CHARACTER,今,明,年,时,draft,DRAFT
q_char_u660e_listen,char_u660e,LISTEN_CHOOSE_CHARACTER,明,年,时,分,draft,DRAFT
q_char_u5e74_listen,char_u5e74,LISTEN_CHOOSE_CHARACTER,年,时,分,秒,draft,DRAFT
q_char_u65f6_listen,char_u65f6,LISTEN_CHOOSE_CHARACTER,时,分,秒,周,draft,DRAFT
q_char_u5206_listen,char_u5206,LISTEN_CHOOSE_CHARACTER,分,秒,周,岁,draft,DRAFT
q_char_u79d2_listen,char_u79d2,LISTEN_CHOOSE_CHARACTER,秒,周,岁,点,draft,DRAFT
q_char_u5468_listen,char_u5468,LISTEN_CHOOSE_CHARACTER,周,岁,点,次,draft,DRAFT
q_char_u5c81_listen,char_u5c81,LISTEN_CHOOSE_CHARACTER,岁,点,次,边,draft,DRAFT
q_char_u70b9_listen,char_u70b9,LISTEN_CHOOSE_CHARACTER,点,次,边,方,draft,DRAFT
q_char_u6b21_listen,char_u6b21,LISTEN_CHOOSE_CHARACTER,次,边,方,向,draft,DRAFT
q_char_u8fb9_listen,char_u8fb9,LISTEN_CHOOSE_CHARACTER,边,方,向,内,draft,DRAFT
q_char_u65b9_listen,char_u65b9,LISTEN_CHOOSE_CHARACTER,方,向,内,女,draft,DRAFT
q_char_u5411_listen,char_u5411,LISTEN_CHOOSE_CHARACTER,向,内,女,颜,draft,DRAFT
q_char_u5185_listen,char_u5185,LISTEN_CHOOSE_CHARACTER,内,女,颜,色,draft,DRAFT
q_char_u5973_listen,char_u5973,LISTEN_CHOOSE_CHARACTER,女,颜,色,形,draft,DRAFT
q_char_u989c_listen,char_u989c,LISTEN_CHOOSE_CHARACTER,颜,色,形,状,draft,DRAFT
q_char_u8272_listen,char_u8272,LISTEN_CHOOSE_CHARACTER,色,形,状,圆,draft,DRAFT
q_char_u5f62_listen,char_u5f62,LISTEN_CHOOSE_CHARACTER,形,状,圆,轻,draft,DRAFT
q_char_u72b6_listen,char_u72b6,LISTEN_CHOOSE_CHARACTER,状,圆,轻,重,draft,DRAFT
q_char_u5706_listen,char_u5706,LISTEN_CHOOSE_CHARACTER,圆,轻,重,冷,draft,DRAFT
q_char_u8f7b_listen,char_u8f7b,LISTEN_CHOOSE_CHARACTER,轻,重,冷,热,draft,DRAFT
q_char_u91cd_listen,char_u91cd,LISTEN_CHOOSE_CHARACTER,重,冷,热,香,draft,DRAFT
q_char_u51b7_listen,char_u51b7,LISTEN_CHOOSE_CHARACTER,冷,热,香,甜,draft,DRAFT
q_char_u70ed_listen,char_u70ed,LISTEN_CHOOSE_CHARACTER,热,香,甜,苦,draft,DRAFT
q_char_u9999_listen,char_u9999,LISTEN_CHOOSE_CHARACTER,香,甜,苦,酸,draft,DRAFT
q_char_u751c_listen,char_u751c,LISTEN_CHOOSE_CHARACTER,甜,苦,酸,软,draft,DRAFT
q_char_u82e6_listen,char_u82e6,LISTEN_CHOOSE_CHARACTER,苦,酸,软,硬,draft,DRAFT
q_char_u9178_listen,char_u9178,LISTEN_CHOOSE_CHARACTER,酸,软,硬,干,draft,DRAFT
q_char_u8f6f_listen,char_u8f6f,LISTEN_CHOOSE_CHARACTER,软,硬,干,湿,draft,DRAFT
q_char_u786c_listen,char_u786c,LISTEN_CHOOSE_CHARACTER,硬,干,湿,声,draft,DRAFT
q_char_u5e72_listen,char_u5e72,LISTEN_CHOOSE_CHARACTER,干,湿,声,音,draft,DRAFT
q_char_u6e7f_listen,char_u6e7f,LISTEN_CHOOSE_CHARACTER,湿,声,音,歌,draft,DRAFT
q_char_u58f0_listen,char_u58f0,LISTEN_CHOOSE_CHARACTER,声,音,歌,舞,draft,DRAFT
q_char_u97f3_listen,char_u97f3,LISTEN_CHOOSE_CHARACTER,音,歌,舞,乐,draft,DRAFT
q_char_u6b4c_listen,char_u6b4c,LISTEN_CHOOSE_CHARACTER,歌,舞,乐,球,draft,DRAFT
q_char_u821e_listen,char_u821e,LISTEN_CHOOSE_CHARACTER,舞,乐,球,棒,draft,DRAFT
q_char_u4e50_listen,char_u4e50,LISTEN_CHOOSE_CHARACTER,乐,球,棒,绳,draft,DRAFT
q_char_u7403_listen,char_u7403,LISTEN_CHOOSE_CHARACTER,球,棒,绳,船,draft,DRAFT
q_char_u68d2_listen,char_u68d2,LISTEN_CHOOSE_CHARACTER,棒,绳,船,飞,draft,DRAFT
q_char_u7ef3_listen,char_u7ef3,LISTEN_CHOOSE_CHARACTER,绳,船,飞,机,draft,DRAFT
q_char_u8239_listen,char_u8239,LISTEN_CHOOSE_CHARACTER,船,飞,机,路,draft,DRAFT
