character_id,text
char_u4e00,山上有一个人。
char_u4e8c,我们一起数一、二、三。
char_u4e09,水里有三条小鱼。
char_u4e0a,小鸟飞到树上。
char_u4e0b,雨从天上落下来。
char_u65e5,日出时，天慢慢亮了。
char_u6708,月亮挂在天上。
char_u6c34,我喝了一口水。
char_u706b,火苗会发热，不要靠近。
char_u6728,这个小木马是木头做的。
char_u5929,天上有一朵白云。
char_u4e91,白云在天上慢慢飘。
char_u96e8,外面下雨了，记得带伞。
char_u98ce,风吹动了小风车。
char_u7530,田里长着绿绿的小苗。
char_u624b,吃饭前要认真洗手。
char_u5934,我抬头看天上的月亮。
char_u8033,我们用耳朵听声音。
char_u773c,我的眼睛看见一只小鸟。
char_u7259,早晚都要认真刷牙。
char_u725b,小牛在田边吃草。
char_u7f8a,山上有一只小羊。
char_u9e1f,小鸟在树上唱歌。
char_u9c7c,小鱼在水里游来游去。
char_u9a6c,小马跑得真快。
