question_id,character_id,question_type,correct_character,option_character_1,option_character_2,option_character_3,prompt_audio,review_status
q_char_u4e2d_listen,char_u4e2d,LISTEN_CHOOSE_CHARACTER,中,右,左,前,draft,DRAFT
q_char_u53f3_listen,char_u53f3,LISTEN_CHOOSE_CHARACTER,右,左,中,后,draft,DRAFT
q_char_u5de6_listen,char_u5de6,LISTEN_CHOOSE_CHARACTER,左,右,前,后,draft,DRAFT
q_char_u524d_listen,char_u524d,LISTEN_CHOOSE_CHARACTER,前,后,里,外,draft,DRAFT
q_char_u540e_listen,char_u540e,LISTEN_CHOOSE_CHARACTER,后,前,里,外,draft,DRAFT
q_char_u91cc_listen,char_u91cc,LISTEN_CHOOSE_CHARACTER,里,外,中,多,draft,DRAFT
q_char_u5916_listen,char_u5916,LISTEN_CHOOSE_CHARACTER,外,里,多,少,draft,DRAFT
q_char_u591a_listen,char_u591a,LISTEN_CHOOSE_CHARACTER,多,少,长,短,draft,DRAFT
q_char_u5c11_listen,char_u5c11,LISTEN_CHOOSE_CHARACTER,少,多,长,短,draft,DRAFT
q_char_u957f_listen,char_u957f,LISTEN_CHOOSE_CHARACTER,长,短,高,低,draft,DRAFT
q_char_u77ed_listen,char_u77ed,LISTEN_CHOOSE_CHARACTER,短,长,高,低,draft,DRAFT
q_char_u9ad8_listen,char_u9ad8,LISTEN_CHOOSE_CHARACTER,高,低,长,短,draft,DRAFT
q_char_u4f4e_listen,char_u4f4e,LISTEN_CHOOSE_CHARACTER,低,高,长,短,draft,DRAFT
q_char_u5feb_listen,char_u5feb,LISTEN_CHOOSE_CHARACTER,快,慢,多,少,draft,DRAFT
q_char_u6162_listen,char_u6162,LISTEN_CHOOSE_CHARACTER,慢,快,多,少,draft,DRAFT
q_char_u767d_listen,char_u767d,LISTEN_CHOOSE_CHARACTER,白,红,黄,绿,draft,DRAFT
q_char_u7ea2_listen,char_u7ea2,LISTEN_CHOOSE_CHARACTER,红,白,黄,绿,draft,DRAFT
q_char_u9ec4_listen,char_u9ec4,LISTEN_CHOOSE_CHARACTER,黄,红,白,绿,draft,DRAFT
q_char_u7eff_listen,char_u7eff,LISTEN_CHOOSE_CHARACTER,绿,红,黄,黑,draft,DRAFT
q_char_u9ed1_listen,char_u9ed1,LISTEN_CHOOSE_CHARACTER,黑,白,红,绿,draft,DRAFT
q_char_u661f_listen,char_u661f,LISTEN_CHOOSE_CHARACTER,星,光,地,土,draft,DRAFT
q_char_u5149_listen,char_u5149,LISTEN_CHOOSE_CHARACTER,光,星,白,黑,draft,DRAFT
q_char_u5730_listen,char_u5730,LISTEN_CHOOSE_CHARACTER,地,土,石,田,draft,DRAFT
q_char_u571f_listen,char_u571f,LISTEN_CHOOSE_CHARACTER,土,地,石,田,draft,DRAFT
q_char_u77f3_listen,char_u77f3,LISTEN_CHOOSE_CHARACTER,石,土,地,田,draft,DRAFT
q_char_u7530_listen,char_u7530,LISTEN_CHOOSE_CHARACTER,田,地,土,草,draft,DRAFT
q_char_u8349_listen,char_u8349,LISTEN_CHOOSE_CHARACTER,草,树,果,田,draft,DRAFT
q_char_u6811_listen,char_u6811,LISTEN_CHOOSE_CHARACTER,树,草,果,春,draft,DRAFT
q_char_u679c_listen,char_u679c,LISTEN_CHOOSE_CHARACTER,果,树,草,秋,draft,DRAFT
q_char_u6625_listen,char_u6625,LISTEN_CHOOSE_CHARACTER,春,夏,秋,冬,draft,DRAFT
q_char_u590f_listen,char_u590f,LISTEN_CHOOSE_CHARACTER,夏,春,秋,冬,draft,DRAFT
q_char_u79cb_listen,char_u79cb,LISTEN_CHOOSE_CHARACTER,秋,春,夏,冬,draft,DRAFT
q_char_u51ac_listen,char_u51ac,LISTEN_CHOOSE_CHARACTER,冬,春,夏,秋,draft,DRAFT
q_char_u65e9_listen,char_u65e9,LISTEN_CHOOSE_CHARACTER,早,晚,先,新,draft,DRAFT
q_char_u665a_listen,char_u665a,LISTEN_CHOOSE_CHARACTER,晚,早,先,新,draft,DRAFT
q_char_u5148_listen,char_u5148,LISTEN_CHOOSE_CHARACTER,先,早,晚,新,draft,DRAFT
q_char_u65b0_listen,char_u65b0,LISTEN_CHOOSE_CHARACTER,新,老,好,有,draft,DRAFT
q_char_u8001_listen,char_u8001,LISTEN_CHOOSE_CHARACTER,老,新,好,有,draft,DRAFT
q_char_u597d_listen,char_u597d,LISTEN_CHOOSE_CHARACTER,好,老,新,有,draft,DRAFT
q_char_u6709_listen,char_u6709,LISTEN_CHOOSE_CHARACTER,有,无,是,不,draft,DRAFT
q_char_u65e0_listen,char_u65e0,LISTEN_CHOOSE_CHARACTER,无,有,是,不,draft,DRAFT
q_char_u662f_listen,char_u662f,LISTEN_CHOOSE_CHARACTER,是,不,有,无,draft,DRAFT
q_char_u4e0d_listen,char_u4e0d,LISTEN_CHOOSE_CHARACTER,不,是,有,无,draft,DRAFT
q_char_u4f1a_listen,char_u4f1a,LISTEN_CHOOSE_CHARACTER,会,见,说,话,draft,DRAFT
q_char_u89c1_listen,char_u89c1,LISTEN_CHOOSE_CHARACTER,见,会,说,话,draft,DRAFT
q_char_u8bf4_listen,char_u8bf4,LISTEN_CHOOSE_CHARACTER,说,话,见,会,draft,DRAFT
q_char_u8bdd_listen,char_u8bdd,LISTEN_CHOOSE_CHARACTER,话,说,见,会,draft,DRAFT
q_char_u559d_listen,char_u559d,LISTEN_CHOOSE_CHARACTER,喝,美,笑,好,draft,DRAFT
q_char_u7f8e_listen,char_u7f8e,LISTEN_CHOOSE_CHARACTER,美,好,笑,红,draft,DRAFT
q_char_u7b11_listen,char_u7b11,LISTEN_CHOOSE_CHARACTER,笑,美,好,说,draft,DRAFT
q_char_u6211_listen,char_u6211,LISTEN_CHOOSE_CHARACTER,我,你,他,她,draft,DRAFT
q_char_u4f60_listen,char_u4f60,LISTEN_CHOOSE_CHARACTER,你,他,她,它,draft,DRAFT
q_char_u4ed6_listen,char_u4ed6,LISTEN_CHOOSE_CHARACTER,他,她,它,爱,draft,DRAFT
q_char_u5979_listen,char_u5979,LISTEN_CHOOSE_CHARACTER,她,它,爱,友,draft,DRAFT
q_char_u5b83_listen,char_u5b83,LISTEN_CHOOSE_CHARACTER,它,爱,友,同,draft,DRAFT
q_char_u7231_listen,char_u7231,LISTEN_CHOOSE_CHARACTER,爱,友,同,学,draft,DRAFT
q_char_u53cb_listen,char_u53cb,LISTEN_CHOOSE_CHARACTER,友,同,学,校,draft,DRAFT
q_char_u540c_listen,char_u540c,LISTEN_CHOOSE_CHARACTER,同,学,校,师,draft,DRAFT
q_char_u5b66_listen,char_u5b66,LISTEN_CHOOSE_CHARACTER,学,校,师,生,draft,DRAFT
