character_id,character,check,parent_result,notes
char_u4e00,一,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u4e8c,二,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u4e09,三,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u4e0a,上,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u4e0b,下,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u65e5,日,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u6708,月,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u6c34,水,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u706b,火,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u6728,木,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u5929,天,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u4e91,云,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u96e8,雨,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u98ce,风,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u7530,田,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u624b,手,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u5934,头,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u8033,耳,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u773c,眼,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u7259,牙,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u725b,牛,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u7f8a,羊,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u9e1f,鸟,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u9c7c,鱼,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
char_u9a6c,马,字形、拼音、声调、释义、词句、主图、题目唯一性、音频完整性,PENDING_REAL_PARENT_REVIEW,
