question_id,option_id,distractor_reason,ambiguity_risk,review_status,notes
q_char_u4e00_listen_choose_character,text_char_u9a6c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_listen_choose_character,text_char_u9c7c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_listen_choose_character,text_char_u4e8c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_image,image_char_u9a6c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_image,image_char_u9c7c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_image,image_char_u4e8c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_audio,audio_char_u9a6c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_audio,audio_char_u9c7c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_character_choose_audio,audio_char_u4e8c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_shape_recognition,text_char_u9a6c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_shape_recognition,text_char_u9c7c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_shape_recognition,text_char_u4e8c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_life_word_context,word_char_u9a6c_1,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_life_word_context,word_char_u9c7c_1,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e00_life_word_context,word_char_u4e8c_1,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e8c_listen_choose_character,text_char_u4e00,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
q_char_u4e8c_listen_choose_character,text_char_u9a6c,优先采用当前字之前已引入的字；首批不足时使用相邻基础字。,LOW,PENDING,人工审核时确认不造成字形或语义歧义。
