character_id,position,text
char_u4e00,1,一个
char_u4e00,2,一天
char_u4e00,3,一口
char_u4e8c,1,二月
char_u4e8c,2,第二
char_u4e8c,3,一二三
char_u4e09,1,三个
char_u4e09,2,三天
char_u4e09,3,三月
char_u4e0a,1,上面
char_u4e0a,2,上山
char_u4e0a,3,天上
char_u4e0b,1,下面
char_u4e0b,2,下山
char_u4e0b,3,下雨
char_u65e5,1,日出
char_u65e5,2,日光
char_u65e5,3,日历
char_u6708,1,月亮
char_u6708,2,月光
char_u6708,3,月牙
char_u6c34,1,喝水
char_u6c34,2,河水
char_u6c34,3,水杯
char_u706b,1,火苗
char_u706b,2,火光
char_u706b,3,火山
char_u6728,1,木头
char_u6728,2,木门
char_u6728,3,木马
char_u5929,1,天上
char_u5929,2,白天
char_u5929,3,天空
char_u4e91,1,白云
char_u4e91,2,云朵
char_u4e91,3,乌云
char_u96e8,1,下雨
char_u96e8,2,雨水
char_u96e8,3,大雨
char_u98ce,1,大风
char_u98ce,2,风车
char_u98ce,3,风声
char_u7530,1,田地
char_u7530,2,水田
char_u7530,3,田野
char_u624b,1,小手
char_u624b,2,手心
char_u624b,3,洗手
char_u5934,1,头发
char_u5934,2,点头
char_u5934,3,抬头
char_u8033,1,耳朵
char_u8033,2,左耳
char_u8033,3,右耳
char_u773c,1,眼睛
char_u773c,2,眼泪
char_u773c,3,眨眼
char_u7259,1,牙齿
char_u7259,2,刷牙
char_u7259,3,门牙
char_u725b,1,小牛
char_u725b,2,牛奶
char_u725b,3,水牛
char_u7f8a,1,小羊
char_u7f8a,2,山羊
char_u7f8a,3,羊毛
char_u9e1f,1,小鸟
char_u9e1f,2,鸟叫
char_u9e1f,3,鸟窝
char_u9c7c,1,小鱼
char_u9c7c,2,金鱼
char_u9c7c,3,鱼缸
char_u9a6c,1,小马
char_u9a6c,2,木马
char_u9a6c,3,马车
