character_id,text_status,image_status,audio_status,parent_status,reviewer,notes
char_u4e2d,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u53f3,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5de6,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u524d,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u540e,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u91cc,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5916,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u591a,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5c11,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u957f,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u77ed,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u9ad8,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u4f4e,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5feb,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u6162,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u767d,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u7ea2,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u9ec4,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u7eff,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u9ed1,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u661f,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5149,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5730,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u571f,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u77f3,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u7530,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u8349,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u6811,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u679c,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u6625,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u590f,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u79cb,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u51ac,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u65e9,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u665a,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u5148,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u65b0,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u8001,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u597d,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u6709,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u65e0,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u662f,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
char_u4e0d,DRAFT,DRAFT,DRAFT,DRAFT,,等待儿童内容、媒体和家长审核
